baseline,scenario,seed,verdict,favorable,throughput_change_pct,system_time_improvement_pct,completed_a,completed_b,report_json,summary_csv,incomplete_a_csv,incomplete_b_csv
"largo_120","demanda_baja","950893","improvement",true,13.314646110721796,39.79582279666573,1427,1617,"data/runs/largo_120/demanda_baja/seed_950893/ab_report.json","data/runs/largo_120/demanda_baja/seed_950893/ab_summary.csv","data/runs/largo_120/demanda_baja/seed_950893/incomplete_trips_A.csv","data/runs/largo_120/demanda_baja/seed_950893/incomplete_trips_B.csv"
"largo_120","demanda_baja","974616","improvement",true,16.936050597329587,41.16377015055429,1423,1664,"data/runs/largo_120/demanda_baja/seed_974616/ab_report.json","data/runs/largo_120/demanda_baja/seed_974616/ab_summary.csv","data/runs/largo_120/demanda_baja/seed_974616/incomplete_trips_A.csv","data/runs/largo_120/demanda_baja/seed_974616/incomplete_trips_B.csv"
"largo_120","demanda_media","157300","improvement",true,27.24687144482366,3.0580986978919484,1758,2237,"data/runs/largo_120/demanda_media/seed_157300/ab_report.json","data/runs/largo_120/demanda_media/seed_157300/ab_summary.csv","data/runs/largo_120/demanda_media/seed_157300/incomplete_trips_A.csv","data/runs/largo_120/demanda_media/seed_157300/incomplete_trips_B.csv"
"largo_120","demanda_media","214181","misleading_regression",true,360.9865470852018,29.251633077605966,446,2056,"data/runs/largo_120/demanda_media/seed_214181/ab_report.json","data/runs/largo_120/demanda_media/seed_214181/ab_summary.csv","data/runs/largo_120/demanda_media/seed_214181/incomplete_trips_A.csv","data/runs/largo_120/demanda_media/seed_214181/incomplete_trips_B.csv"
"largo_120","demanda_media","281772","improvement",true,31.160663236134933,8.113862654498229,1749,2294,"data/runs/largo_120/demanda_media/seed_281772/ab_report.json","data/runs/largo_120/demanda_media/seed_281772/ab_summary.csv","data/runs/largo_120/demanda_media/seed_281772/incomplete_trips_A.csv","data/runs/largo_120/demanda_media/seed_281772/incomplete_trips_B.csv"
"largo_120","demanda_media","372292","misleading_improvement",false,-65.03248670998228,-24.077907332197913,1693,592,"data/runs/largo_120/demanda_media/seed_372292/ab_report.json","data/runs/largo_120/demanda_media/seed_372292/ab_summary.csv","data/runs/largo_120/demanda_media/seed_372292/incomplete_trips_A.csv","data/runs/largo_120/demanda_media/seed_372292/incomplete_trips_B.csv"
"largo_120","demanda_media","400290","improvement",true,142.63217097862767,10.49885151304153,889,2157,"data/runs/largo_120/demanda_media/seed_400290/ab_report.json","data/runs/largo_120/demanda_media/seed_400290/ab_summary.csv","data/runs/largo_120/demanda_media/seed_400290/incomplete_trips_A.csv","data/runs/largo_120/demanda_media/seed_400290/incomplete_trips_B.csv"
"largo_120","demanda_media","423459","improvement",true,66.01164483260553,21.38499729829205,1374,2281,"data/runs/largo_120/demanda_media/seed_423459/ab_report.json","data/runs/largo_120/demanda_media/seed_423459/ab_summary.csv","data/runs/largo_120/demanda_media/seed_423459/incomplete_trips_A.csv","data/runs/largo_120/demanda_media/seed_423459/incomplete_trips_B.csv"
"largo_120","demanda_media","449463","improvement",true,30.650887573964496,5.825453283595038,1690,2208,"data/runs/largo_120/demanda_media/seed_449463/ab_report.json","data/runs/largo_120/demanda_media/seed_449463/ab_summary.csv","data/runs/largo_120/demanda_media/seed_449463/incomplete_trips_A.csv","data/runs/largo_120/demanda_media/seed_449463/incomplete_trips_B.csv"
"largo_120","demanda_media","843099","misleading_regression",true,275.8220502901354,9.899396062231506,517,1943,"data/runs/largo_120/demanda_media/seed_843099/ab_report.json","data/runs/largo_120/demanda_media/seed_843099/ab_summary.csv","data/runs/largo_120/demanda_media/seed_843099/incomplete_trips_A.csv","data/runs/largo_120/demanda_media/seed_843099/incomplete_trips_B.csv"
